entity_id,list_id,entity_name,COUNT(R.rating)
263,5,Huntsman,1
264,19,"Men's Swim Team",3
265,12,Recommendr,3
266,20,"On the toilet seat i",2
267,14,"Ben & Jerry's",3
268,14,capogiro,4
269,12,FeedMe,2
270,23,"Moore 100",3
271,26,"College Hall",2
272,26,"DRL ",4
273,23,"Penn Museum",3
274,22,Pottruck,3
275,10,"Barclay Prime",2
276,28,"Sig Nu",5
277,17,"Rakesh Vohra",3
278,27,Zeta,3
279,25,"Nom Nom Ramen",8
280,25,"Tap House",8
281,25,"Ramen Bar",10
282,25,Harvest,6
283,25,"Chez Yasmine",6
284,14,"Lil Pop Shop",3
285,14,"Federal Donuts",2
286,25,Zestos,8
287,3,"DRL teriyaki truck",3
288,3,"Smoothie truck",6
289,25,Wawa,9
290,18,"Singh Nanotech Build",5
291,18,"Schumaker Green",5
292,18,"Wynn Commons",4
293,25,"Shake Shack",7
294,16,"Down to 1st and Waln",6
295,9,Abners,1
296,9,Allegros,6
297,9,"Axis Pizza",4
298,9,"Bridge Cafe",4
299,9,CopaBanana,5
300,25,CopaBanana,7
301,9,Cosi,4
302,9,Distrito,4
303,25,Dominos,6
304,9,"Honest Tom's",5
305,9,Hummus,5
306,25,Hummus,7
307,9,Aksum,2
308,9,"Mad Mex",4
310,1,Gojjo,3
311,4,"Metro Bakery",7
312,13,"Metro Bakery",3
314,9,Pattaya,3
315,9,POD,2
316,9,Saladworks,3
317,9,Tampopo,3
318,9,Frontera,3
319,28,"The Joe Lou fraterni",3
320,29,"The Love Statue",7
321,29,"Singh Nanotech Build",6
322,29,"Rocky Steps",5
323,29,"Harnwell RTL",4
324,14,"Franklin Fountain",1
325,9,Penne,1
326,30,"Locust walk",3
327,30,"DRL basement",4
328,30,Room,5
329,30,"VP basement bathroom",3
330,17,"MATT BLAZE",1
331,30,"ARCH basement",4
332,30,"Fisher Fine Arts",2
333,30,"Marks Cafe",1
334,30,"The Quad",1
335,30,"College Green",2
336,30,"Platt benches",2
337,3,YueKee,3
338,18,"Biomedical Library",1
339,29,"Benjamin Franklin Be",2
340,29,"The Button",1
341,25,"Fat Salmon",1
342,1,"Renata's Cafe ",5
343,24,"Pat's King of Steaks",3
344,24,"Geno's Steaks",3
345,24,"Jim's Steaks ",2
346,2,Rx,4
347,13,"Capo Giro",1
348,13,"Federal Donuts",1
349,6,"The Blarney Stone",2
350,18,"High Rise Field",3
351,28,"Apes ",3
352,28,"Theos ",4
353,28,Oz,4
354,28,Castle,4
355,28,Owls,4
356,28,A's,4
357,28,"Kappa Sig ",4
358,28,"Phi Delt",4
359,28,"Zata Psi ",4
360,28,SAE,4
361,28,Beta,4
362,28,ZBT,4
363,28,"Sig Chi",4
364,28,TEP,3
365,28,Pike,3
367,29,"Lower/Upper Quad ",1
369,26,"Weiss Tech House Bat",1
373,25,"Jimmy John's",1
374,20,"Huntsman GSR",1
376,27,"Tri-Delt ",4
377,27,"Alpha Chi Omega",2
378,27,Theta,1
379,27,SDT,2
380,27,OAX,2
381,27,Tabard,1
382,19,"Men's Basketball",1
383,26,"Biddle Law Library",1
384,32,Hubbub,4
385,32,Wawa,4
387,33,McDonalds,1
388,33,Zestos,2
389,33,Allegro's,2
390,3,"King's Wok",2
391,32,"Schmear It",3
392,10,Amada,1
393,24,"Joe's Steaks + Soda ",1
394,34,Kiwi,3
395,34,Yogorino,3
396,34,"Ben & Jerry's",4
397,34,Capogiro,3
398,35,Harvest,1
399,35,"White Dog",2
400,35,"Ramen Bar",1
401,35,Copabanana,2
402,35,MadMex,2
403,33,FroGro,2
404,3,"Dos Hermanos",2
405,31,Frogro,1
406,36,Zestos,4
407,25,"Sweet Green",2
408,1,"A Mandarin",11
409,21,"International Relations",2
410,28,SigEp,4
411,36,"Enjay's Pizza",3
412,36,Allegro's,3
413,1,"Erawan Thai Cuisine",3
414,36,Zavino,2
415,17,"Linda Kurth",1
416,4,"chilli kaffe",2
417,26,"Pottruck 3rd floor bathroom",1
418,26,"6th Floor Van Pelt",1
419,32,"Metropolitan Bakery",1
420,27,"Sigma Kappa",2
421,37,"Bianca Pham",1
422,37,"Steffi Maiman",1
428,4,Menagerie,2
